Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19594554,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20098501,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20602037,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21105152,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21609451,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22113669,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22617135,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23120211,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23623804,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24128130,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24631427,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25135130,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25638625,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26142510,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26646029,"phase":"HOST_START","pid":11352,"run_id":"gt06-s105-handles-01"}
