Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":18892660,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19396461,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19900722,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20403849,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20907752,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21411840,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21915424,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22418216,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22923047,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23427150,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23930375,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24433160,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24936852,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25441186,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25944962,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26449208,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26952101,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27457525,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27959038,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28463974,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28966475,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29470087,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29973992,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30478508,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30982372,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31484854,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31988997,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32493374,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32996212,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":33500213,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34005137,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34507314,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35011219,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35515328,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36018475,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36522128,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37026318,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37529192,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38033017,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38537023,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39041380,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39544660,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40048499,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40551691,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41056098,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41559254,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42063165,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42567525,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43071091,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43574330,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44077993,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44421087,"phase":"HOST_START","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_BENCHMARK_START {"batch_index":0,"command_batch_sha256":"b084a3fd40922669a17069c4b35e5f59d37675064dff3f79ac30279ace968c5b","deadline_mono_us":606291622,"generation":1,"issued_mono_us":6291622,"max_status_gap_ms":505.424,"process_frame":5694,"ready_file":"benchmark/out/ready-00.json","ready_sha256":"50d6d89c38159147a961f927c003c4e19cb8da3fc098f427fcb3b301c50adbb4","root_instance_id":1519764176195,"semantic_sha256":"f3fd9f270886a056f469e70586795e06c8d47b651021a22366629ab06d886162","start_file":"benchmark/input/start-00.json","start_observed_mono_us":44421083,"start_sha256":"5f920fe37e792da046ee401d5a7223279f3f92f070064e3b32c4deeea4ba4354","start_size_bytes":499}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44421239,"phase":"CYCLE_BEGIN","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":0,"entry_event_us":44640285,"event":"save_enter","formal_acceptance":false,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5698,"process_entry_us":44640245,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s103-prefix-01","save_start_us":44640267,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":1,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":44640448,"call_return_us":44723934,"cycle":0,"entry_event_us":44640285,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":5704,"next_process_entry_us":44739945,"next_process_exit_frame":5704,"next_process_exit_us":44745688,"observation_complete":true,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5698,"process_entry_us":44640245,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":44745666,"run_id":"gt06-s103-prefix-01","save_process_exit_frame":5703,"save_process_exit_us":44723945,"save_result":0,"save_start_us":44640267,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":1,"signal_frame":5703,"signal_us":44714985,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":1,"entry_event_us":44920192,"event":"save_enter","formal_acceptance":false,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5711,"process_entry_us":44920159,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s103-prefix-01","save_start_us":44920179,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":2,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":1,"main_thread":true,"monotonic_us":44922752,"phase":"SAVE_WAIT","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":44920310,"call_return_us":44977677,"cycle":1,"entry_event_us":44920192,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":5717,"next_process_entry_us":44996430,"next_process_exit_frame":5717,"next_process_exit_us":44999605,"observation_complete":true,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5711,"process_entry_us":44920159,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":44999585,"run_id":"gt06-s103-prefix-01","save_process_exit_frame":5716,"save_process_exit_us":44977684,"save_result":0,"save_start_us":44920179,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":2,"signal_frame":5716,"signal_us":44972152,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":2,"entry_event_us":45109554,"event":"save_enter","formal_acceptance":false,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5724,"process_entry_us":45109525,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s103-prefix-01","save_start_us":45109541,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":3,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":45109666,"call_return_us":45167417,"cycle":2,"entry_event_us":45109554,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":5730,"next_process_entry_us":45171523,"next_process_exit_frame":5730,"next_process_exit_us":45174436,"observation_complete":true,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5724,"process_entry_us":45109525,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":45174422,"run_id":"gt06-s103-prefix-01","save_process_exit_frame":5729,"save_process_exit_us":45167425,"save_result":0,"save_start_us":45109541,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":3,"signal_frame":5729,"signal_us":45160477,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":3,"entry_event_us":45284625,"event":"save_enter","formal_acceptance":false,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5737,"process_entry_us":45284604,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s103-prefix-01","save_start_us":45284616,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":4,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":45284713,"call_return_us":45341506,"cycle":3,"entry_event_us":45284625,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":5743,"next_process_entry_us":45345708,"next_process_exit_frame":5743,"next_process_exit_us":45348716,"observation_complete":true,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5737,"process_entry_us":45284604,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":45348702,"run_id":"gt06-s103-prefix-01","save_process_exit_frame":5742,"save_process_exit_us":45341514,"save_result":0,"save_start_us":45284616,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":4,"signal_frame":5742,"signal_us":45334805,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":4,"main_thread":true,"monotonic_us":45459577,"phase":"SAVE","pid":7348,"run_id":"gt06-s103-prefix-01"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":4,"entry_event_us":45459693,"event":"save_enter","formal_acceptance":false,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5750,"process_entry_us":45459569,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s103-prefix-01","save_start_us":45459686,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":5,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":45459771,"call_return_us":45518704,"cycle":4,"entry_event_us":45459693,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":5756,"next_process_entry_us":45522823,"next_process_exit_frame":5756,"next_process_exit_us":45525828,"observation_complete":true,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5750,"process_entry_us":45459569,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":45525813,"run_id":"gt06-s103-prefix-01","save_process_exit_frame":5755,"save_process_exit_us":45518711,"save_result":0,"save_start_us":45459686,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":5,"signal_frame":5755,"signal_us":45512692,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_ENTER {"batch":0,"cycle":5,"entry_event_us":45635177,"event":"save_enter","formal_acceptance":false,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5763,"process_entry_us":45635154,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s103-prefix-01","save_start_us":45635167,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":6,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_S103_SAVE_COMPLETE {"batch":0,"call_entry_us":45635302,"call_return_us":45695020,"cycle":5,"entry_event_us":45635177,"event":"save_complete","failed":false,"formal_acceptance":false,"next_process_entry_frame":5769,"next_process_entry_us":45699165,"next_process_exit_frame":5769,"next_process_exit_us":45702136,"observation_complete":true,"pid":7348,"probe_source_sha256":"13e65360cd0bc0033d0ad414fb3238e216b0d6dcc08e57dc7026ec4fc9eb8b95","process_entry_frame":5763,"process_entry_us":45635154,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","readback_end_us":45702121,"run_id":"gt06-s103-prefix-01","save_process_exit_frame":5768,"save_process_exit_us":45695027,"save_result":0,"save_start_us":45635167,"schema_id":"hh-studio.s103-native-save","schema_version":"1.0.0","sequence":6,"signal_frame":5768,"signal_us":45689256,"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
