Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19580039,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20083837,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20587684,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21090976,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21594550,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22098036,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22601953,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23105750,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23609725,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24112622,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24617635,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25121157,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25624922,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26128956,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26632398,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27135743,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27639577,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28142867,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":28646558,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29150921,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":29654355,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30157875,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":30661596,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31165650,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":31668576,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32172669,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":32675959,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":33179342,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":33683746,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34187281,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":34691154,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35194002,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":35698201,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36202184,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":36706229,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37209782,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":37713816,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38216699,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":38719958,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39223643,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":39727960,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40231937,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":40735825,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41238800,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":41742656,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42246772,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":42751307,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43253916,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":43757452,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44261590,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":44765544,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45268942,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45518353,"phase":"HOST_START","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_START {"batch_index":0,"command_batch_sha256":"c489771515eb6cb50bc02c78dfe7c8918ba98ac853d60098a0c5b36996740a3c","deadline_mono_us":606978941,"generation":1,"issued_mono_us":6978941,"max_status_gap_ms":505.016,"process_frame":5753,"ready_file":"benchmark/out/ready-00.json","ready_sha256":"553ffa604d95d1ce2e42ab2b70ae52da92c239d8e19d83052005526cec7d2417","root_instance_id":1519764176195,"semantic_sha256":"f3fd9f270886a056f469e70586795e06c8d47b651021a22366629ab06d886162","start_file":"benchmark/input/start-00.json","start_observed_mono_us":45518350,"start_sha256":"dbc640230d829e463297366f0421b98ac668844828aaff6e1c5cdf50fc26731b","start_size_bytes":503}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":45518509,"phase":"CYCLE_BEGIN","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":1,"main_thread":true,"monotonic_us":46027044,"phase":"RELOAD_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":4,"main_thread":true,"monotonic_us":46541308,"phase":"UNDO","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":6,"main_thread":true,"monotonic_us":47056954,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":8,"main_thread":true,"monotonic_us":47563001,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":11,"main_thread":true,"monotonic_us":48084673,"phase":"UNDO","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":13,"main_thread":true,"monotonic_us":48585607,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":15,"main_thread":true,"monotonic_us":49127246,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":18,"main_thread":true,"monotonic_us":49634144,"phase":"UNDO","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":20,"main_thread":true,"monotonic_us":50135768,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":22,"main_thread":true,"monotonic_us":50661402,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":25,"main_thread":true,"monotonic_us":51206840,"phase":"UNDO","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":27,"main_thread":true,"monotonic_us":51719091,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":29,"main_thread":true,"monotonic_us":52244008,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":32,"main_thread":true,"monotonic_us":52752304,"phase":"UNDO","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":34,"main_thread":true,"monotonic_us":53291015,"phase":"SAVE","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":36,"main_thread":true,"monotonic_us":53795228,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":38,"main_thread":true,"monotonic_us":54312663,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":40,"main_thread":true,"monotonic_us":54815357,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":42,"main_thread":true,"monotonic_us":55317241,"phase":"RELOAD","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":44,"main_thread":true,"monotonic_us":55827663,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":46,"main_thread":true,"monotonic_us":56367008,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":48,"main_thread":true,"monotonic_us":56905379,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":50,"main_thread":true,"monotonic_us":57415549,"phase":"RELOAD_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":52,"main_thread":true,"monotonic_us":57931077,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":54,"main_thread":true,"monotonic_us":58435840,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":57,"main_thread":true,"monotonic_us":58938482,"phase":"CYCLE_BEGIN","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":59,"main_thread":true,"monotonic_us":59455580,"phase":"UNDO","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":61,"main_thread":true,"monotonic_us":59973555,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":63,"main_thread":true,"monotonic_us":60479803,"phase":"SAVE_WAIT","pid":32860,"run_id":"gt06-s82-attribution-01"}
