Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19389686,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":19893471,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20396804,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":20900430,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21404083,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":21907674,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22411488,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":22915958,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23418722,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":23922850,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24426913,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":24929830,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25433582,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":25937943,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26441251,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":26944886,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27449598,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":27952132,"phase":"HOST_START","pid":23356,"run_id":"gt06-s106-handles-prefix-01"}
